sepal_length,sepal_width,petal_length,petal_width,species
5.1,3.5,1.4,0.2,tulip
4.9,3,1.4,0.2,tulip
4.7,3.2,1.3,0.2,tulip
4.6,3.1,1.5,0.2,tulip
5,3.6,1.4,0.2,tulip
5.4,3.9,1.7,0.4,tulip
4.6,3.4,1.4,0.3,tulip
5,3.4,1.5,0.2,tulip
4.4,2.9,1.4,0.2,tulip
4.9,3.1,1.5,0.1,tulip
5.4,3.7,1.5,0.2,tulip
4.8,3.4,1.6,0.2,tulip
4.8,3,1.4,0.1,tulip
4.3,3,1.1,0.1,tulip
5.8,4,1.2,0.2,tulip
5.7,4.4,1.5,0.4,tulip
5.4,3.9,1.3,0.4,tulip
5.1,3.5,1.4,0.3,tulip
5.7,3.8,1.7,0.3,tulip
5.1,3.8,1.5,0.3,tulip
5.4,3.4,1.7,0.2,tulip
5.1,3.7,1.5,0.4,tulip
4.6,3.6,1,0.2,tulip
5.1,3.3,1.7,0.5,tulip
4.8,3.4,1.9,0.2,tulip
5,3,1.6,0.2,tulip
5,3.4,1.6,0.4,tulip
5.2,3.5,1.5,0.2,tulip
5.2,3.4,1.4,0.2,tulip
4.7,3.2,1.6,0.2,tulip
4.8,3.1,1.6,0.2,tulip
5.4,3.4,1.5,0.4,tulip
5.2,4.1,1.5,0.1,tulip
5.5,4.2,1.4,0.2,tulip
4.9,3.1,1.5,0.1,tulip
5,3.2,1.2,0.2,tulip
5.5,3.5,1.3,0.2,tulip
4.9,3.1,1.5,0.1,tulip
4.4,3,1.3,0.2,tulip
5.1,3.4,1.5,0.2,tulip
5,3.5,1.3,0.3,tulip
4.5,2.3,1.3,0.3,tulip
4.4,3.2,1.3,0.2,tulip
5,3.5,1.6,0.6,tulip
5.1,3.8,1.9,0.4,tulip
4.8,3,1.4,0.3,tulip
5.1,3.8,1.6,0.2,tulip
4.6,3.2,1.4,0.2,tulip
5.3,3.7,1.5,0.2,tulip
5,3.3,1.4,0.2,tulip
7,3.2,4.7,1.4,lily
6.4,3.2,4.5,1.5,lily
6.9,3.1,4.9,1.5,lily
5.5,2.3,4,1.3,lily
6.5,2.8,4.6,1.5,lily
5.7,2.8,4.5,1.3,lily
6.3,3.3,4.7,1.6,lily
4.9,2.4,3.3,1,lily
6.6,2.9,4.6,1.3,lily
5.2,2.7,3.9,1.4,lily
5,2,3.5,1,lily
5.9,3,4.2,1.5,lily
6,2.2,4,1,lily
6.1,2.9,4.7,1.4,lily
5.6,2.9,3.6,1.3,lily
6.7,3.1,4.4,1.4,lily
5.6,3,4.5,1.5,lily
5.8,2.7,4.1,1,lily
6.2,2.2,4.5,1.5,lily
5.6,2.5,3.9,1.1,lily
5.9,3.2,4.8,1.8,lily
6.1,2.8,4,1.3,lily
6.3,2.5,4.9,1.5,lily
6.1,2.8,4.7,1.2,lily
6.4,2.9,4.3,1.3,lily
6.6,3,4.4,1.4,lily
6.8,2.8,4.8,1.4,lily
6.7,3,5,1.7,lily
6,2.9,4.5,1.5,lily
5.7,2.6,3.5,1,lily
5.5,2.4,3.8,1.1,lily
5.5,2.4,3.7,1,lily
5.8,2.7,3.9,1.2,lily
6,2.7,5.1,1.6,lily
5.4,3,4.5,1.5,lily
6,3.4,4.5,1.6,lily
6.7,3.1,4.7,1.5,lily
6.3,2.3,4.4,1.3,lily
5.6,3,4.1,1.3,lily
5.5,2.5,4,1.3,lily
5.5,2.6,4.4,1.2,lily
6.1,3,4.6,1.4,lily
5.8,2.6,4,1.2,lily
5,2.3,3.3,1,lily
5.6,2.7,4.2,1.3,lily
5.7,3,4.2,1.2,lily
5.7,2.9,4.2,1.3,lily
6.2,2.9,4.3,1.3,lily
5.1,2.5,3,1.1,lily
5.7,2.8,4.1,1.3,lily
6.3,3.3,6,2.5,rose
5.8,2.7,5.1,1.9,rose
7.1,3,5.9,2.1,rose
6.3,2.9,5.6,1.8,rose
6.5,3,5.8,2.2,rose
7.6,3,6.6,2.1,rose
4.9,2.5,4.5,1.7,rose
7.3,2.9,6.3,1.8,rose
6.7,2.5,5.8,1.8,rose
7.2,3.6,6.1,2.5,rose
6.5,3.2,5.1,2,rose
6.4,2.7,5.3,1.9,rose
6.8,3,5.5,2.1,rose
5.7,2.5,5,2,rose
5.8,2.8,5.1,2.4,rose
6.4,3.2,5.3,2.3,rose
6.5,3,5.5,1.8,rose
7.7,3.8,6.7,2.2,rose
7.7,2.6,6.9,2.3,rose
6,2.2,5,1.5,rose
6.9,3.2,5.7,2.3,rose
5.6,2.8,4.9,2,rose
7.7,2.8,6.7,2,rose
6.3,2.7,4.9,1.8,rose
6.7,3.3,5.7,2.1,rose
7.2,3.2,6,1.8,rose
6.2,2.8,4.8,1.8,rose
6.1,3,4.9,1.8,rose
6.4,2.8,5.6,2.1,rose
7.2,3,5.8,1.6,rose
7.4,2.8,6.1,1.9,rose
7.9,3.8,6.4,2,rose
6.4,2.8,5.6,2.2,rose
6.3,2.8,5.1,1.5,rose
6.1,2.6,5.6,1.4,rose
7.7,3,6.1,2.3,rose
6.3,3.4,5.6,2.4,rose
6.4,3.1,5.5,1.8,rose
6,3,4.8,1.8,rose
6.9,3.1,5.4,2.1,rose
6.7,3.1,5.6,2.4,rose
6.9,3.1,5.1,2.3,rose
5.8,2.7,5.1,1.9,rose
6.8,3.2,5.9,2.3,rose
6.7,3.3,5.7,2.5,rose
6.7,3,5.2,2.3,rose
6.3,2.5,5,1.9,rose
6.5,3,5.2,2,rose
6.2,3.4,5.4,2.3,rose
5.9,3,5.1,1.8,rose
